type,loc,sqm,lvl,nbed,nbath,year,price
Διαμέρισμα,Ταμπούρια,74,1,2,1,2000,160000
Διαμέρισμα,Άγιος Βασίλειος,83,1,2,1,2022,250000
Διαμέρισμα,Καστέλα,91,5,2,1,1978,115000
Διαμέρισμα,Ευαγγελίστρια,86,3,2,1,2001,185000
Διαμέρισμα,Μανιάτικα,80,5,2,1,2010,180000
Διαμέρισμα,Ταμπούρια,55,2,1,1,1965,42000
Διαμέρισμα,Κέντρο,136,5,3,1,2011,345000
Μεζονέτα,Άγιος Βασίλειος,105,3,2,1,1985,95000
Διαμέρισμα,Νέο Φάληρο,62,1,1,1,2009,95000
Διαμέρισμα,Τερψιθέα,82,4,2,1,1976,210000
Διαμέρισμα,Ζωοδόχος Πηγή,80,1,2,1,1968,49000
Διαμέρισμα,Ζωοδόχος Πηγή,78,2,2,2,2008,133000
Διαμέρισμα,Φρεαττύδα,103,2,2,1,1964,120000
Διαμέρισμα,Ζωοδόχος Πηγή,61,4,1,1,2010,92000
Διαμέρισμα,Πειραϊκή,90,4,2,1,2010,470000
Διαμέρισμα,Ταμπούρια,90,1,2,1,1960,85000
Διαμέρισμα,Φρεαττύδα,131,7,3,2,1974,180000
Διαμέρισμα,Μανιάτικα,79,3,2,1,2008,120000
Διαμέρισμα,Ευαγγελίστρια,120,1,3,1,1978,150000
Διαμέρισμα,ΟΣΕ,100,1,3,1,2003,110000
Μεζονέτα,Πειραϊκή,113,5,2,1,2004,360000
Διαμέρισμα,Νέο Φάληρο,116,5,3,1,2021,320000
Διαμέρισμα,Αγία Σοφία,50,Υπερυψωμένο,1,1,1970,45000
Κτίριο,Μανιάτικα,294,0,7,6,1970,250000
Διαμέρισμα,Καστέλα,90,4,2,1,2008,220000
Διαμέρισμα,Μανιάτικα,70,1,2,1,2010,140000
Διαμέρισμα,Άγιος Βασίλειος,49,Ημιώροφ,1,1,1970,102000
Διαμέρισμα,Καμίνια,47,0,2,1,1966,32000
Διαμέρισμα,Ευαγγελίστρια,75,1,2,1,1970,145000
Μονοκατοικία,Μανιάτικα,133,0,3,2,1950,180000
Διαμέρισμα,Καμίνια,53,1,1,1,2021,106000
Διαμέρισμα,Χατζηκυριάκειο,90,3,2,2,2010,470000
Μονοκατοικία,Ζωοδόχος Πηγή,162,0,1,1,1930,100000
Διαμέρισμα,Τερψιθέα,72,1,2,1,1972,170000
Διαμέρισμα,Μανιάτικα,95,4,3,1,2010,260000
Διαμέρισμα,Ευαγγελίστρια,86,2,2,2,2007,185000
Διαμέρισμα,Χατζηκυριάκειο,93,1,2,1,1984,350000
Οικία,Χατζηκυριάκειο,269,0,8,1,1968,280000
Διαμέρισμα,Μανιάτικα,71,4,2,1,2005,140000
Διαμέρισμα,Ταμπούρια,139,0,2,1,1960,90000
Διαμέρισμα,Καμίνια,63,1,1,1,1967,49500
Διαμέρισμα,Φρεαττύδα,75,1,2,1,1970,250000
Διαμέρισμα,Μικρολίμανο,140,0,2,1,1948,350000
Μεζονέτα,Ευαγγελίστρια,117,4,2,2,2003,160000
Διαμέρισμα,Φρεαττύδα,70,3,2,1,1962,67000
Κτίριο,Κεντρικός Λιμένας,563,0,14,5,2006,891000
Διαμέρισμα,Ζωοδόχος Πηγή,100,2,2,1,1990,90000
Διαμέρισμα,Αμφιάλη,42,2,1,1,1978,36000
Διαμέρισμα,Ευαγγελίστρια,81,2,2,1,2008,150000
Διαμέρισμα,Φρεαττύδα,96,1,3,1,2012,215000
Διαμέρισμα,Καστέλα,144,0,4,2,1955,120000
Διαμέρισμα,Καμίνια,77,1,2,1,1983,77000
Διαμέρισμα,Πλατεία Ιπποδαμείας,72,2,2,1,1962,120000
Διαμέρισμα,Νέο Φάληρο,63,2,1,1,1973,120000
Μεζονέτα,Ταμπούρια,130,5,4,2,2021,335000
Διαμέρισμα,Κέντρο,75,2,2,1,1970,125000
Κτίριο,Αγία Σοφία,360,0,4,3,1960,450000
Διαμέρισμα,Ταμπούρια,289,0,5,4,1970,180000
Κτίριο,Ευαγγελίστρια,446,0,10,8,1994,1000000
Διαμέρισμα,Νέο Φάληρο,81,5,2,1,2021,229000
Διαμέρισμα,Καλλίπολη,70,1,2,1,1970,105000
Διαμέρισμα,Καστέλα,83,3,2,1,2005,162000
Διαμέρισμα,Τερψιθέα,117,5,3,1,1991,350000
Διαμέρισμα,Ευαγγελίστρια,76,3,1,1,1975,120000
Διαμέρισμα,Κέντρο,90,3,2,1,1978,150000
Διαμέρισμα,Ταμπούρια,90,4,3,1,2021,240000
Διαμέρισμα,Μανιάτικα,74,1,2,1,1974,80000
Μεζονέτα,Πλατεία Ιπποδαμείας,128,5,2,1,1980,175000
Διαμέρισμα,Καστέλα,70,6,1,1,1970,200000
Διαμέρισμα,Καστέλα,84,0,2,1,1964,250000
Διαμέρισμα,Μανιάτικα,70,3,2,1,2010,150000
Διαμέρισμα,Πειραϊκή,77,4,2,1,1979,370000
Κτίριο,Αγία Σοφία,210,1,6,3,1976,290000
Διαμέρισμα,Κέντρο,71,2,2,1,1974,80000
Διαμέρισμα,Υδραίικα,64,Υπερυψωμένο,1,1,1975,90000
Διαμέρισμα,Καμίνια,90,4,2,1,1979,110000
Διαμέρισμα,Χατζηκυριάκειο,215,2,4,1,1985,500000
Διαμέρισμα,Φρεαττύδα,127,6,3,2,1970,190000
Διαμέρισμα,Καμίνια,70,2,2,1,2005,115000
Διαμέρισμα,Ζωοδόχος Πηγή,125,1,3,1,1970,140000
Διαμέρισμα,Νέο Φάληρο,116,3,3,1,2021,300000
Διαμέρισμα,Μανιάτικα,100,2,2,1,2003,170000
Διαμέρισμα,Υδραίικα,45,0,1,1,1980,44000
